pump_GHz,Idc_A,Ip0_A,band_GHz,peak_gain_db,peak_frequency_GHz,mean_in_band_gain_db,median_in_band_gain_db,ripple_peak_to_peak_db,ripple_std_db,fraction_above_15db,fraction_above_17db,fraction_above_20db,bandwidth_regions_GHz,total_3db_bandwidth_GHz,finite,minimum_in_band_gain_db,maximum_in_band_gain_db
12.999999999999998,0.00025,0.00033,"[4.0, 8.0]",41.548531897169745,6.5,31.011018117761207,34.83165030779976,41.9510639797254,12.088587500171037,0.8888888888888888,0.8888888888888888,0.8888888888888888,"[(6.0, 6.5)]",1.0,True,-0.4025320825556552,41.548531897169745
12.7,0.0003,0.00033,"[4.0, 8.0]",43.65509217640121,7.5,30.649827898909635,35.04873196451523,32.56408997184626,11.449467424407903,0.7777777777777778,0.7777777777777778,0.7777777777777778,"[(7.5, 8.0)]",1.0,True,11.091002204554952,43.65509217640121
12.999999999999998,0.00039999999999999996,0.00017999999999999998,"[4.0, 8.0]",28.98096875290111,6.5,19.801629887597127,20.820968546430052,26.41361517929107,7.940548454721743,0.7777777777777778,0.7777777777777778,0.5555555555555556,"[(6.0, 6.5)]",1.0,True,2.5673535736100366,28.98096875290111
12.999999999999998,0.0003,0.00028,"[4.0, 8.0]",40.527264021458926,7.5,25.716742844816274,27.35908627820733,38.505335807428956,12.932863454018975,0.7777777777777778,0.7777777777777778,0.7777777777777778,"[(7.5, 7.5)]",0.5,True,2.0219282140299715,40.527264021458926
12.7,0.00035,0.00017999999999999998,"[4.0, 8.0]",34.22491703950638,8.0,23.88552672582334,25.914667443612377,32.867530336118804,10.058799616925617,0.7777777777777778,0.7777777777777778,0.7777777777777778,"[(6.5, 6.5), (8.0, 8.0)]",1.0,True,1.3573867033875742,34.22491703950638
12.899999999999999,0.00035,0.00017999999999999998,"[4.0, 8.0]",35.62487324747015,8.0,22.222077007998806,26.05178631838012,34.36519965871007,10.900308075935422,0.7777777777777778,0.7777777777777778,0.7777777777777778,"[(8.0, 8.0)]",0.5,True,1.259673588760082,35.62487324747015
12.799999999999999,0.00025,0.00028,"[4.0, 8.0]",42.75343034836607,6.5,27.68485961915327,30.836869604186596,42.13153576833797,14.549557741968217,0.7777777777777778,0.7777777777777778,0.7777777777777778,"[(6.0, 6.5)]",1.0,True,0.6218945800280968,42.75343034836607
12.999999999999998,0.00035,0.00022999999999999998,"[4.0, 8.0]",37.630191115178285,7.5,25.514834163018886,32.32412000489302,37.120911062139385,12.626364803157404,0.7777777777777778,0.7777777777777778,0.7777777777777778,"[(6.5, 6.5), (7.5, 7.5)]",1.0,True,0.5092800530388977,37.630191115178285
12.799999999999999,0.00035,0.00017999999999999998,"[4.0, 8.0]",34.10689892392001,8.0,21.526639592100334,25.0335183122913,34.19543588298746,9.180464183624231,0.7777777777777778,0.7777777777777778,0.6666666666666666,"[(8.0, 8.0)]",0.5,True,-0.08853695906744925,34.10689892392001
12.899999999999999,0.00025,0.00028,"[4.0, 8.0]",43.089911926315025,7.5,27.533612855151496,33.93417252314548,43.400305940476564,15.213791074923579,0.7777777777777778,0.7777777777777778,0.6666666666666666,"[(7.5, 7.5)]",0.5,True,-0.310394014161537,43.089911926315025
