freq_GHz,S21_db_engineered,k_star_engineered_rad
2.156,-0.000114498731685,2.05872337237e-05
2.158,-0.000116234332506,2.06921404658e-05
2.16,-0.000117969933328,2.07970472079e-05
2.162,-0.00011970553415,2.090195395e-05
2.164,-0.000121449381405,2.100689305e-05
2.166,-0.000123230337615,2.11119777612e-05
2.168,-0.000125011293825,2.12170624724e-05
2.17,-0.000126792250034,2.13221471835e-05
2.172,-0.000128573206244,2.14272318947e-05
2.174,-0.000130354162453,2.15323166058e-05
2.176,-0.000132135118663,2.1637401317e-05
2.178,-0.000133916074872,2.17424860282e-05
2.18,-0.000135697031082,2.18475707393e-05
2.182,-0.00013748150944,2.19526717775e-05
2.184,-0.000139301209276,2.20579360856e-05
2.186,-0.000141120909113,2.21632003937e-05
2.188,-0.000142940608949,2.22684647018e-05
2.19,-0.000144760308786,2.23737290098e-05
2.192,-0.000146580008622,2.24789933179e-05
2.194,-0.000148399708459,2.2584257626e-05
2.196,-0.000150219408296,2.26895219341e-05
2.198,-0.000152039108132,2.27947862422e-05
2.2,-0.000153858807969,2.29000505503e-05
2.202,-0.000155710275364,2.30054960871e-05
2.204,-0.000157561742759,2.3110941624e-05
2.206,-0.000159413210154,2.32163871608e-05
2.208,-0.000161264677549,2.33218326976e-05
2.21,-0.000163116144945,2.34272782345e-05
2.212,-0.00016496761234,2.35327237713e-05
2.214,-0.000166819079735,2.36381693081e-05
2.216,-0.00016867054713,2.37436148449e-05
2.218,-0.000170522014525,2.38490603818e-05
2.22,-0.000172395706039,2.39546721592e-05
2.222,-0.000174271619966,2.40603005607e-05
2.224,-0.000176147533892,2.41659289623e-05
2.226,-0.000178023447818,2.42715573638e-05
2.228,-0.000179899361744,2.43771857653e-05
2.23,-0.00018177527567,2.44828141668e-05
2.232,-0.000183651189597,2.45884425684e-05
2.234,-0.000185527103523,2.46940709699e-05
2.236,-0.000187403017449,2.47996993714e-05
