pump_GHz,Idc_A,Ip0_A,band_GHz,peak_gain_db,peak_frequency_GHz,mean_in_band_gain_db,median_in_band_gain_db,ripple_peak_to_peak_db,ripple_std_db,fraction_above_15db,fraction_above_17db,fraction_above_20db,bandwidth_regions_GHz,total_3db_bandwidth_GHz,finite
13.1,0.00035999999999999997,0.00033,"[4.0, 8.0]",22.254773699562026,6.499999999999991,6.9591522916297945,4.36736633020531,31.833379199156735,8.610576266777029,0.2682926829268293,0.21951219512195122,0.07317073170731707,"[(6.199999999999992, 6.599999999999991)]",0.4999999999999982,True
13.12,0.00035999999999999997,0.00033,"[4.0, 8.0]",39.9768705448241,7.199999999999989,24.073778879856675,31.557586987795837,39.81915110701343,14.382514454674805,0.6829268292682927,0.6585365853658537,0.6585365853658537,"[(5.999999999999993, 6.199999999999992), (6.79999999999999, 7.399999999999988)]",0.9999999999999964,True
13.14,0.00035999999999999997,0.00033,"[4.0, 8.0]",6.550185333743888,4.499999999999998,4.347051227550361,4.185647316010116,4.383250996441413,0.8325789822013029,0.0,0.0,0.0,"[(4.0, 7.399999999999988), (7.699999999999987, 7.899999999999986)]",3.7999999999999865,True
13.16,0.00035999999999999997,0.00033,"[4.0, 8.0]",4.48260157722099,4.299999999999999,3.049934078776429,2.8992814223660117,3.165624391652642,0.7530192088408276,0.0,0.0,0.0,"[(4.0, 7.899999999999986)]",3.999999999999986,True
13.1,0.00035999999999999997,0.00033999999999999997,"[4.0, 8.0]",4.34456051131331,6.499999999999991,-0.4023834386292718,0.4957427110687179,14.906500764284612,3.177636506430049,0.0,0.0,0.0,"[(4.0, 4.0), (4.799999999999997, 5.099999999999996), (6.0999999999999925, 6.79999999999999)]",1.2999999999999954,True
13.12,0.00035999999999999997,0.00033999999999999997,"[4.0, 8.0]",28.747561437523377,6.3999999999999915,12.341376337839737,11.842797834590185,32.61225985057751,10.896289235078168,0.43902439024390244,0.3902439024390244,0.3170731707317073,"[(6.199999999999992, 6.89999999999999)]",0.7999999999999972,True
13.14,0.00035999999999999997,0.00033999999999999997,"[4.0, 8.0]",7.143548842329533,4.499999999999998,4.86435043342607,4.757924743001803,4.420033361274642,0.8435593498297564,0.0,0.0,0.0,"[(4.0, 7.399999999999988), (7.7999999999999865, 7.7999999999999865)]",3.599999999999987,True
13.16,0.00035999999999999997,0.00033999999999999997,"[4.0, 8.0]",4.8589965954670475,4.299999999999999,3.436386081938359,3.2570188597897114,3.3939729004081727,0.7307196847099171,0.0,0.0,0.0,"[(4.0, 7.899999999999986)]",3.999999999999986,True
13.1,0.00035999999999999997,0.00035,"[4.0, 8.0]",1.4207462670452828,4.9999999999999964,-3.504744926127718,-2.013066839974092,28.235698628686915,5.014309637566449,0.0,0.0,0.0,"[(4.0, 4.1), (4.299999999999999, 5.299999999999995), (7.199999999999989, 7.599999999999987)]",1.7999999999999936,True
13.12,0.00035999999999999997,0.00035,"[4.0, 8.0]",10.16879714031673,6.3999999999999915,2.8741434918828563,1.6339830546356708,18.295198662202303,4.447632265118588,0.0,0.0,0.0,"[(5.999999999999993, 6.999999999999989)]",1.099999999999996,True
13.14,0.00035999999999999997,0.00035,"[4.0, 8.0]",7.581036540180811,4.499999999999998,5.3204387597835465,5.334990442428207,4.166398594106469,0.8800473343886966,0.0,0.0,0.0,"[(4.0, 7.399999999999988)]",3.4999999999999876,True
13.16,0.00035999999999999997,0.00035,"[4.0, 8.0]",5.239780063964464,4.399999999999999,3.7990702019111433,3.69671753702679,3.6375673359921565,0.721308545670485,0.0,0.0,0.0,"[(4.0, 7.899999999999986)]",3.999999999999986,True
