finger_length_um,Z0_ohm
67.0105,21.142
67.0869,21.060
67.1633,21.060
67.2397,20.979
67.3161,20.979
67.3926,20.979
67.4690,20.979
67.5454,20.979
67.6218,20.897
67.6982,20.897
67.7746,20.897
67.8510,20.897
67.9274,20.897
68.0038,20.897
68.0802,20.897
68.1566,20.897
68.2330,20.897
68.3095,20.897
68.3859,20.897
68.4623,20.816
68.5387,20.816
68.6151,20.734
68.6915,20.816
68.7679,20.979
68.8443,20.816
68.9207,20.816
68.9971,20.816
69.0735,20.816
69.1500,20.734
69.2264,20.897
69.3028,20.897
69.3792,20.816
69.4556,20.653
69.5320,20.653
69.6084,20.571
69.6848,20.571
69.7612,20.571
69.8376,20.571
69.9140,20.571
69.9904,20.571
70.0669,20.571
70.1433,20.571
70.2197,20.571
70.2961,20.571
70.3725,20.489
70.4489,20.489
70.5253,20.489
70.6017,20.489
70.6781,20.489
70.7545,20.489
70.8309,20.571
70.9074,20.408
70.9838,20.408
71.0602,20.408
71.1366,20.408
71.2130,20.489
71.2894,20.408
71.3658,20.489
71.4422,20.408
71.5186,20.326
71.5950,20.326
71.6714,20.326
71.7479,20.245
71.8243,20.245
71.9007,20.245
71.9771,20.245
72.0535,20.245
72.1299,20.245
72.2063,20.245
72.2827,20.245
72.3591,20.245
72.4355,20.245
72.5119,20.245
72.5883,20.163
72.6648,20.163
72.7412,20.163
72.8176,20.163
72.8940,20.163
72.9704,20.163
73.0468,20.163
73.1232,20.245
73.1996,20.163
73.2760,20.082
73.3524,20.163
73.4288,20.082
73.5053,20.082
73.5817,20.082
73.6581,20.082
73.7345,20.082
73.8109,20.082
73.8873,20.082
73.9637,20.082
74.0401,20.082
74.1165,20.082
74.1929,20.082
74.2693,19.918
74.3457,19.918
74.4222,19.918
74.4986,20.000
74.5750,20.000
74.6514,19.918
74.7278,19.837
74.8042,19.918
74.8806,19.837
74.9570,19.918
75.0334,19.918
75.1098,19.837
75.1862,19.837
75.2627,19.837
75.3391,19.837
75.4155,19.918
75.4919,19.837
75.5683,19.837
75.6447,19.755
75.7211,19.755
75.7975,19.755
75.8739,19.755
75.9503,19.755
76.0267,19.755
76.1032,19.755
76.1796,19.755
76.2560,19.755
76.3324,19.755
76.4088,19.755
76.4852,19.674
76.5616,19.674
76.6380,19.674
76.7144,19.674
76.7908,19.674
76.8672,19.674
76.9436,19.674
77.0201,19.674
77.0965,19.592
77.1729,19.592
77.2493,19.592
77.3257,19.592
77.4021,19.592
77.4785,19.592
77.5549,19.592
77.6313,19.592
77.7077,19.592
77.7841,19.592
77.8606,19.592
77.9370,19.592
78.0134,19.511
78.0898,19.511
78.1662,19.511
78.2426,19.511
78.3190,19.429
78.3954,19.429
78.4718,19.429
78.5482,19.429
78.6246,19.347
78.7011,19.184
78.7775,19.347
78.8539,19.347
78.9303,19.347
79.0067,19.347
79.0831,19.266
79.1595,19.266
79.2359,19.184
79.3123,19.184
79.3887,19.266
79.4651,19.266
79.5415,19.266
79.6180,19.266
79.6944,19.184
79.7708,19.184
79.8472,19.103
79.9236,19.266
80.0000,19.266
80.0764,19.266
80.1528,19.184
80.2292,19.184
80.3056,18.695
80.3820,19.184
80.4585,19.266
